id,value
tag,
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Led Zeppelin,
tag.Led Zeppelin.classic rock,100
tag.Led Zeppelin.rock,64
tag.Led Zeppelin.hard rock,62
tag.Led Zeppelin.70s,36
tag.Led Zeppelin.Progressive rock,33
tag.Led Zeppelin.blues rock,10
tag.Led Zeppelin.british,9
tag.Led Zeppelin.blues,9
tag.Led Zeppelin.Led Zeppelin,8
tag.Led Zeppelin.heavy metal,8
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Pink Floyd,
tag.Pink Floyd.Progressive rock,100
tag.Pink Floyd.classic rock,79
tag.Pink Floyd.Psychedelic Rock,72
tag.Pink Floyd.rock,53
tag.Pink Floyd.psychedelic,44
tag.Pink Floyd.british,13
tag.Pink Floyd.Progressive,11
tag.Pink Floyd.Pink Floyd,10
tag.Pink Floyd.70s,8
tag.Pink Floyd.alternative,6
tag.System of a Down,
tag.System of a Down.metal,100
tag.System of a Down.alternative metal,94
tag.System of a Down.rock,65
tag.System of a Down.Nu Metal,62
tag.System of a Down.alternative,54
tag.System of a Down.hard rock,20
tag.System of a Down.seen live,18
tag.System of a Down.alternative rock,13
tag.System of a Down.System of a Down,9
tag.System of a Down.Nu-metal,7
