id,value
tag,
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Beyoncé,
tag.Beyoncé.rnb,100
tag.Beyoncé.pop,91
tag.Beyoncé.female vocalists,70
tag.Beyoncé.soul,56
tag.Beyoncé.Hip-Hop,46
tag.Beyoncé.beyonce,16
tag.Beyoncé.dance,13
tag.Beyoncé.r&b,9
tag.Beyoncé.american,9
tag.Beyoncé.sexy,8
tag.Adele,
tag.Adele.soul,100
tag.Adele.female vocalists,82
tag.Adele.british,66
tag.Adele.singer-songwriter,51
tag.Adele.indie,40
tag.Adele.pop,19
tag.Adele.Adele,12
tag.Adele.jazz,8
tag.Adele.acoustic,4
tag.Adele.female vocalist,4
tag.Sia,
tag.Sia.female vocalists,100
tag.Sia.chillout,76
tag.Sia.indie,70
tag.Sia.trip-hop,58
tag.Sia.downtempo,57
tag.Sia.australian,21
tag.Sia.pop,19
tag.Sia.singer-songwriter,18
tag.Sia.electronic,16
tag.Sia.alternative,9
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
