id,value
tag,
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Paramore,
tag.Paramore.rock,100
tag.Paramore.pop punk,93
tag.Paramore.alternative,79
tag.Paramore.female vocalists,72
tag.Paramore.emo,36
tag.Paramore.seen live,34
tag.Paramore.alternative rock,22
tag.Paramore.punk,13
tag.Paramore.Paramore,12
tag.Paramore.pop rock,11
tag.Taylor Swift,
tag.Taylor Swift.country,100
tag.Taylor Swift.pop,70
tag.Taylor Swift.female vocalists,60
tag.Taylor Swift.singer-songwriter,41
tag.Taylor Swift.acoustic,31
tag.Taylor Swift.taylor swift,14
tag.Taylor Swift.country pop,9
tag.Taylor Swift.american,8
tag.Taylor Swift.seen live,4
tag.Taylor Swift.female,4
