id,value
tag,
tag.OutKast,
tag.OutKast.Hip-Hop,100
tag.OutKast.rap,59
tag.OutKast.funk,44
tag.OutKast.hip hop,42
tag.OutKast.soul,30
tag.OutKast.Dirty South,10
tag.OutKast.pop,9
tag.OutKast.alternative,7
tag.OutKast.seen live,7
tag.OutKast.outkast,6
tag.Black Eyed Peas,
tag.Black Eyed Peas.Hip-Hop,100
tag.Black Eyed Peas.pop,75
tag.Black Eyed Peas.rnb,49
tag.Black Eyed Peas.rap,47
tag.Black Eyed Peas.hip hop,37
tag.Black Eyed Peas.dance,18
tag.Black Eyed Peas.seen live,13
tag.Black Eyed Peas.black eyed peas,12
tag.Black Eyed Peas.funk,10
tag.Black Eyed Peas.american,7
tag.Jimi Hendrix,
tag.Jimi Hendrix.classic rock,100
tag.Jimi Hendrix.rock,75
tag.Jimi Hendrix.blues,61
tag.Jimi Hendrix.psychedelic,57
tag.Jimi Hendrix.guitar,43
tag.Jimi Hendrix.Psychedelic Rock,23
tag.Jimi Hendrix.60s,17
tag.Jimi Hendrix.blues rock,13
tag.Jimi Hendrix.hard rock,13
tag.Jimi Hendrix.jimi hendrix,8
tag.Evanescence,
tag.Evanescence.rock,100
tag.Evanescence.Gothic Rock,93
tag.Evanescence.female vocalists,71
tag.Evanescence.Gothic,59
tag.Evanescence.alternative,56
tag.Evanescence.alternative rock,24
tag.Evanescence.Gothic Metal,23
tag.Evanescence.metal,22
tag.Evanescence.Evanescence,13
tag.Evanescence.seen live,12
tag.Os Paralamas Do Sucesso,
tag.Os Paralamas Do Sucesso.rock,100
tag.Os Paralamas Do Sucesso.brazilian rock,76
tag.Os Paralamas Do Sucesso.brazilian,66
tag.Os Paralamas Do Sucesso.brasil,55
tag.Os Paralamas Do Sucesso.mpb,49
tag.Os Paralamas Do Sucesso.ska,20
tag.Os Paralamas Do Sucesso.80s,19
tag.Os Paralamas Do Sucesso.seen live,17
tag.Os Paralamas Do Sucesso.pop,13
tag.Os Paralamas Do Sucesso.rock brasileiro,11
