id,value
tag,
tag.Lana Del Rey,
tag.Lana Del Rey.female vocalists,100
tag.Lana Del Rey.indie,92
tag.Lana Del Rey.indie pop,88
tag.Lana Del Rey.pop,79
tag.Lana Del Rey.alternative,66
tag.Lana Del Rey.american,14
tag.Lana Del Rey.dream pop,12
tag.Lana Del Rey.seen live,11
tag.Lana Del Rey.trip-hop,9
tag.Lana Del Rey.singer-songwriter,9
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
tag.Paramore,
tag.Paramore.rock,100
tag.Paramore.pop punk,93
tag.Paramore.alternative,79
tag.Paramore.female vocalists,72
tag.Paramore.emo,36
tag.Paramore.seen live,34
tag.Paramore.alternative rock,22
tag.Paramore.punk,13
tag.Paramore.Paramore,12
tag.Paramore.pop rock,11
tag.Arcade Fire,
tag.Arcade Fire.indie,100
tag.Arcade Fire.indie rock,99
tag.Arcade Fire.alternative,76
tag.Arcade Fire.Canadian,62
tag.Arcade Fire.seen live,57
tag.Arcade Fire.rock,48
tag.Arcade Fire.alternative rock,16
tag.Arcade Fire.art rock,11
tag.Arcade Fire.baroque pop,10
tag.Arcade Fire.folk,6
tag.Green Day,
tag.Green Day.punk rock,100
tag.Green Day.rock,75
tag.Green Day.punk,69
tag.Green Day.alternative,47
tag.Green Day.pop punk,43
tag.Green Day.seen live,26
tag.Green Day.alternative rock,17
tag.Green Day.green day,11
tag.Green Day.american,7
tag.Green Day.pop,6
