id,value
tag,
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Katy Perry,
tag.Katy Perry.pop,100
tag.Katy Perry.female vocalists,62
tag.Katy Perry.pop rock,45
tag.Katy Perry.indie,25
tag.Katy Perry.rock,24
tag.Katy Perry.katy perry,12
tag.Katy Perry.american,9
tag.Katy Perry.dance,9
tag.Katy Perry.seen live,7
tag.Katy Perry.female vocalist,5
tag.David Guetta,
tag.David Guetta.House,100
tag.David Guetta.dance,82
tag.David Guetta.electronic,76
tag.David Guetta.club,50
tag.David Guetta.techno,39
tag.David Guetta.french,11
tag.David Guetta.seen live,9
tag.David Guetta.David Guetta,8
tag.David Guetta.electronica,7
tag.David Guetta.electro,6
tag.Sia,
tag.Sia.female vocalists,100
tag.Sia.chillout,76
tag.Sia.indie,70
tag.Sia.trip-hop,58
tag.Sia.downtempo,57
tag.Sia.australian,21
tag.Sia.pop,19
tag.Sia.singer-songwriter,18
tag.Sia.electronic,16
tag.Sia.alternative,9
tag.Lady Gaga,
tag.Lady Gaga.pop,100
tag.Lady Gaga.dance,73
tag.Lady Gaga.electronic,53
tag.Lady Gaga.female vocalists,43
tag.Lady Gaga.female vocalist,21
tag.Lady Gaga.Lady Gaga,14
tag.Lady Gaga.electropop,8
tag.Lady Gaga.seen live,8
tag.Lady Gaga.american,7
tag.Lady Gaga.gaga,5
