id,value
tag,
tag.The Offspring,
tag.The Offspring.punk rock,100
tag.The Offspring.punk,69
tag.The Offspring.rock,53
tag.The Offspring.alternative,35
tag.The Offspring.alternative rock,33
tag.The Offspring.seen live,22
tag.The Offspring.pop punk,10
tag.The Offspring.american,6
tag.The Offspring.hard rock,5
tag.The Offspring.90s,5
tag.Future,
tag.Future.Hip-Hop,100
tag.Future.rap,74
tag.Future.Dirty South,44
tag.Future.atlanta,38
tag.Future.hip hop,27
tag.Future.trap,23
tag.Future.trap rap,20
tag.Future.american,13
tag.Future.rnb,12
tag.Future.future,12
tag.Nicki Minaj,
tag.Nicki Minaj.Hip-Hop,100
tag.Nicki Minaj.rap,84
tag.Nicki Minaj.rnb,52
tag.Nicki Minaj.pop,44
tag.Nicki Minaj.hip hop,39
tag.Nicki Minaj.female vocalists,25
tag.Nicki Minaj.sexy,20
tag.Nicki Minaj.nicki minaj,11
tag.Nicki Minaj.dance,9
tag.Nicki Minaj.american,8
tag.Sigur Rós,
tag.Sigur Rós.post-rock,100
tag.Sigur Rós.ambient,74
tag.Sigur Rós.icelandic,57
tag.Sigur Rós.alternative,40
tag.Sigur Rós.indie,37
tag.Sigur Rós.seen live,31
tag.Sigur Rós.experimental,13
tag.Sigur Rós.post rock,12
tag.Sigur Rós.electronic,12
tag.Sigur Rós.shoegaze,6
tag.AC/DC,
