id,value
tag,
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
tag.Sia,
tag.Sia.female vocalists,100
tag.Sia.chillout,76
tag.Sia.indie,70
tag.Sia.trip-hop,58
tag.Sia.downtempo,57
tag.Sia.australian,21
tag.Sia.pop,19
tag.Sia.singer-songwriter,18
tag.Sia.electronic,16
tag.Sia.alternative,9
tag.Justin Timberlake,
tag.Justin Timberlake.pop,100
tag.Justin Timberlake.rnb,63
tag.Justin Timberlake.dance,47
tag.Justin Timberlake.male vocalists,32
tag.Justin Timberlake.Hip-Hop,30
tag.Justin Timberlake.Justin Timberlake,9
tag.Justin Timberlake.seen live,9
tag.Justin Timberlake.soul,8
tag.Justin Timberlake.american,8
tag.Justin Timberlake.hip hop,6
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Red Hot Chili Peppers,
tag.Red Hot Chili Peppers.rock,100
tag.Red Hot Chili Peppers.alternative rock,59
tag.Red Hot Chili Peppers.alternative,54
tag.Red Hot Chili Peppers.funk,50
tag.Red Hot Chili Peppers.Funk Rock,50
tag.Red Hot Chili Peppers.seen live,23
tag.Red Hot Chili Peppers.Red Hot Chili Peppers,8
tag.Red Hot Chili Peppers.punk,6
tag.Red Hot Chili Peppers.american,5
tag.Red Hot Chili Peppers.indie,5
