id,value
tag,
tag.Arctic Monkeys,
tag.Arctic Monkeys.indie rock,100
tag.Arctic Monkeys.indie,98
tag.Arctic Monkeys.british,75
tag.Arctic Monkeys.rock,63
tag.Arctic Monkeys.alternative,60
tag.Arctic Monkeys.seen live,44
tag.Arctic Monkeys.alternative rock,19
tag.Arctic Monkeys.britpop,16
tag.Arctic Monkeys.arctic monkeys,7
tag.Arctic Monkeys.Garage Rock,4
tag.Muse,
tag.Muse.alternative rock,100
tag.Muse.rock,83
tag.Muse.alternative,70
tag.Muse.Progressive rock,57
tag.Muse.seen live,46
tag.Muse.indie,43
tag.Muse.british,21
tag.Muse.indie rock,12
tag.Muse.britpop,10
tag.Muse.Muse,10
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
tag.Nirvana,
tag.Nirvana.Grunge,100
tag.Nirvana.rock,52
tag.Nirvana.alternative,35
tag.Nirvana.alternative rock,34
tag.Nirvana.90s,28
tag.Nirvana.punk,7
tag.Nirvana.Nirvana,7
tag.Nirvana.indie,4
tag.Nirvana.american,4
tag.Nirvana.seattle,4
tag.The Killers,
tag.The Killers.indie,100
tag.The Killers.rock,93
tag.The Killers.indie rock,90
tag.The Killers.alternative,75
tag.The Killers.alternative rock,64
tag.The Killers.seen live,39
tag.The Killers.The Killers,10
tag.The Killers.pop,10
tag.The Killers.american,9
tag.The Killers.britpop,4
