id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Queen,
tag.Queen.classic rock,100
tag.Queen.rock,80
tag.Queen.80s,41
tag.Queen.hard rock,38
tag.Queen.glam rock,35
tag.Queen.british,16
tag.Queen.Queen,13
tag.Queen.70s,8
tag.Queen.pop,7
tag.Queen.Progressive rock,6
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Major Lazer,
tag.Major Lazer.seen live,100
tag.Major Lazer.dancehall,89
tag.Major Lazer.electronic,86
tag.Major Lazer.reggae,68
tag.Major Lazer.dub,56
tag.Major Lazer.electro,39
tag.Major Lazer.dance,11
tag.Major Lazer.ragga,7
tag.Major Lazer.moombahton,6
tag.Major Lazer.trap,6
