id,value
tag,
tag.Extremoduro,
tag.Extremoduro.rock,100
tag.Extremoduro.Spanish Rock,78
tag.Extremoduro.rock transgresivo,49
tag.Extremoduro.spanish,43
tag.Extremoduro.hard rock,36
tag.Extremoduro.Rock Urbano,14
tag.Extremoduro.seen live,11
tag.Extremoduro.extremoduro,9
tag.Extremoduro.rock español,8
tag.Extremoduro.spain,6
tag.Crystal Fighters,
tag.Crystal Fighters.seen live,100
tag.Crystal Fighters.electronic,93
tag.Crystal Fighters.dance-punk,53
tag.Crystal Fighters.electro,46
tag.Crystal Fighters.spanish,41
tag.Crystal Fighters.indie,30
tag.Crystal Fighters.Kitsune,18
tag.Crystal Fighters.folktronica,8
tag.Crystal Fighters.alternative,7
tag.Crystal Fighters.new rave,6
tag.Of Monsters and Men,
tag.Of Monsters and Men.indie,100
tag.Of Monsters and Men.folk,89
tag.Of Monsters and Men.indie pop,65
tag.Of Monsters and Men.icelandic,55
tag.Of Monsters and Men.seen live,41
tag.Of Monsters and Men.iceland,33
tag.Of Monsters and Men.indie folk,16
tag.Of Monsters and Men.alternative,9
tag.Of Monsters and Men.indie rock,8
tag.Of Monsters and Men.pop,6
tag.Bloc Party,
tag.Bloc Party.indie,100
tag.Bloc Party.indie rock,84
tag.Bloc Party.seen live,63
tag.Bloc Party.alternative,56
tag.Bloc Party.british,46
tag.Bloc Party.rock,46
tag.Bloc Party.alternative rock,18
tag.Bloc Party.britpop,18
tag.Bloc Party.post-punk,8
tag.Bloc Party.indie pop,7
tag.Jason Derülo,
tag.Jason Derülo.rnb,100
tag.Jason Derülo.pop,91
tag.Jason Derülo.male vocalists,42
tag.Jason Derülo.urban,35
tag.Jason Derülo.Jason Derulo,33
tag.Jason Derülo.Hip-Hop,20
tag.Jason Derülo.r&b,20
tag.Jason Derülo.american,13
tag.Jason Derülo.dance,11
tag.Jason Derülo.soul,6
