id,value
tag,
tag.R.E.M.,
tag.R.E.M..rock,100
tag.R.E.M..alternative rock,71
tag.R.E.M..alternative,70
tag.R.E.M..indie,39
tag.R.E.M..seen live,30
tag.R.E.M..pop,29
tag.R.E.M..classic rock,12
tag.R.E.M..indie rock,11
tag.R.E.M..80s,11
tag.R.E.M..american,9
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.U2,
tag.U2.rock,100
tag.U2.classic rock,44
tag.U2.irish,38
tag.U2.pop,33
tag.U2.alternative,31
tag.U2.seen live,17
tag.U2.alternative rock,13
tag.U2.U2,13
tag.U2.80s,13
tag.U2.90s,5
tag.Michael Jackson,
tag.Michael Jackson.pop,100
tag.Michael Jackson.80s,50
tag.Michael Jackson.dance,41
tag.Michael Jackson.soul,36
tag.Michael Jackson.funk,34
tag.Michael Jackson.king of pop,11
tag.Michael Jackson.michael jackson,10
tag.Michael Jackson.rock,8
tag.Michael Jackson.Disco,7
tag.Michael Jackson.legend,7
tag.Bonobo,
tag.Bonobo.downtempo,100
tag.Bonobo.electronic,85
tag.Bonobo.chillout,82
tag.Bonobo.trip-hop,77
tag.Bonobo.ninja tune,48
tag.Bonobo.seen live,18
tag.Bonobo.electronica,15
tag.Bonobo.lounge,15
tag.Bonobo.ambient,8
tag.Bonobo.downbeat,8
