id,value
tag,
tag.Aphex Twin,
tag.Aphex Twin.electronic,100
tag.Aphex Twin.idm,83
tag.Aphex Twin.ambient,81
tag.Aphex Twin.experimental,64
tag.Aphex Twin.electronica,43
tag.Aphex Twin.techno,16
tag.Aphex Twin.Warp,10
tag.Aphex Twin.seen live,8
tag.Aphex Twin.electro,5
tag.Aphex Twin.british,5
tag.Bruce Springsteen,
tag.Bruce Springsteen.rock,100
tag.Bruce Springsteen.classic rock,78
tag.Bruce Springsteen.singer-songwriter,59
tag.Bruce Springsteen.80s,33
tag.Bruce Springsteen.folk,33
tag.Bruce Springsteen.seen live,23
tag.Bruce Springsteen.american,12
tag.Bruce Springsteen.americana,10
tag.Bruce Springsteen.Bruce Springsteen,8
tag.Bruce Springsteen.folk rock,8
tag.Aretha Franklin,
tag.Aretha Franklin.soul,100
tag.Aretha Franklin.female vocalists,49
tag.Aretha Franklin.jazz,46
tag.Aretha Franklin.blues,40
tag.Aretha Franklin.rhythm and blues,33
tag.Aretha Franklin.rnb,10
tag.Aretha Franklin.oldies,9
tag.Aretha Franklin.gospel,9
tag.Aretha Franklin.60s,7
tag.Aretha Franklin.motown,5
tag.Parov Stelar,
tag.Parov Stelar.nu-jazz,100
tag.Parov Stelar.downtempo,81
tag.Parov Stelar.electronic,81
tag.Parov Stelar.lounge,67
tag.Parov Stelar.jazz,61
tag.Parov Stelar.seen live,19
tag.Parov Stelar.nu jazz,15
tag.Parov Stelar.chillout,14
tag.Parov Stelar.trip-hop,13
tag.Parov Stelar.acid jazz,11
tag.Joy Division,
tag.Joy Division.post-punk,100
tag.Joy Division.new wave,55
tag.Joy Division.80s,34
tag.Joy Division.alternative,31
tag.Joy Division.indie,23
tag.Joy Division.rock,12
tag.Joy Division.british,11
tag.Joy Division.punk,7
tag.Joy Division.Gothic,6
tag.Joy Division.Post punk,6
