id,value
tag,
tag.Kanye West,
tag.Kanye West.Hip-Hop,100
tag.Kanye West.rap,68
tag.Kanye West.hip hop,40
tag.Kanye West.rnb,31
tag.Kanye West.Kanye West,24
tag.Kanye West.seen live,22
tag.Kanye West.Gay Fish,6
tag.Kanye West.american,6
tag.Kanye West.pop,6
tag.Kanye West.chicago,5
tag.Gorillaz,
tag.Gorillaz.alternative,100
tag.Gorillaz.electronic,88
tag.Gorillaz.Hip-Hop,63
tag.Gorillaz.rock,58
tag.Gorillaz.indie,46
tag.Gorillaz.trip-hop,20
tag.Gorillaz.electronica,13
tag.Gorillaz.pop,13
tag.Gorillaz.british,12
tag.Gorillaz.alternative rock,11
tag.Adele,
tag.Adele.soul,100
tag.Adele.female vocalists,82
tag.Adele.british,66
tag.Adele.singer-songwriter,51
tag.Adele.indie,40
tag.Adele.pop,19
tag.Adele.Adele,12
tag.Adele.jazz,8
tag.Adele.acoustic,4
tag.Adele.female vocalist,4
tag.David Guetta,
tag.David Guetta.House,100
tag.David Guetta.dance,82
tag.David Guetta.electronic,76
tag.David Guetta.club,50
tag.David Guetta.techno,39
tag.David Guetta.french,11
tag.David Guetta.seen live,9
tag.David Guetta.David Guetta,8
tag.David Guetta.electronica,7
tag.David Guetta.electro,6
tag.Black Eyed Peas,
tag.Black Eyed Peas.Hip-Hop,100
tag.Black Eyed Peas.pop,75
tag.Black Eyed Peas.rnb,49
tag.Black Eyed Peas.rap,47
tag.Black Eyed Peas.hip hop,37
tag.Black Eyed Peas.dance,18
tag.Black Eyed Peas.seen live,13
tag.Black Eyed Peas.black eyed peas,12
tag.Black Eyed Peas.funk,10
tag.Black Eyed Peas.american,7
