id,value
tag,
tag.LCD Soundsystem,
tag.LCD Soundsystem.electronic,100
tag.LCD Soundsystem.indie,58
tag.LCD Soundsystem.seen live,53
tag.LCD Soundsystem.dance,46
tag.LCD Soundsystem.electronica,37
tag.LCD Soundsystem.alternative,32
tag.LCD Soundsystem.electro,14
tag.LCD Soundsystem.indie rock,11
tag.LCD Soundsystem.dance punk,10
tag.LCD Soundsystem.dance-punk,9
tag.Fall Out Boy,
tag.Fall Out Boy.pop punk,100
tag.Fall Out Boy.rock,91
tag.Fall Out Boy.emo,86
tag.Fall Out Boy.alternative,69
tag.Fall Out Boy.punk,56
tag.Fall Out Boy.seen live,38
tag.Fall Out Boy.punk rock,28
tag.Fall Out Boy.alternative rock,15
tag.Fall Out Boy.indie,14
tag.Fall Out Boy.Fall Out Boy,13
tag.Carly Rae Jepsen,
tag.Carly Rae Jepsen.pop,100
tag.Carly Rae Jepsen.Canadian,53
tag.Carly Rae Jepsen.female vocalists,48
tag.Carly Rae Jepsen.folk,27
tag.Carly Rae Jepsen.acoustic,22
tag.Carly Rae Jepsen.dance,11
tag.Carly Rae Jepsen.Carly Rae Jepsen,8
tag.Carly Rae Jepsen.canada,6
tag.Carly Rae Jepsen.singer-songwriter,5
tag.Carly Rae Jepsen.synthpop,5
tag.Van Morrison,
tag.Van Morrison.classic rock,100
tag.Van Morrison.singer-songwriter,87
tag.Van Morrison.folk,76
tag.Van Morrison.rock,68
tag.Van Morrison.blues,62
tag.Van Morrison.irish,26
tag.Van Morrison.seen live,14
tag.Van Morrison.folk rock,14
tag.Van Morrison.jazz,12
tag.Van Morrison.van morrison,12
tag.Otis Redding,
tag.Otis Redding.soul,100
tag.Otis Redding.rhythm and blues,42
tag.Otis Redding.blues,37
tag.Otis Redding.60s,31
tag.Otis Redding.oldies,23
tag.Otis Redding.motown,10
tag.Otis Redding.rnb,8
tag.Otis Redding.Southern Soul,5
tag.Otis Redding.stax,5
tag.Otis Redding.american,5
