id,value
tag,
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Arctic Monkeys,
tag.Arctic Monkeys.indie rock,100
tag.Arctic Monkeys.indie,98
tag.Arctic Monkeys.british,75
tag.Arctic Monkeys.rock,63
tag.Arctic Monkeys.alternative,60
tag.Arctic Monkeys.seen live,44
tag.Arctic Monkeys.alternative rock,19
tag.Arctic Monkeys.britpop,16
tag.Arctic Monkeys.arctic monkeys,7
tag.Arctic Monkeys.Garage Rock,4
tag.Lady Gaga,
tag.Lady Gaga.pop,100
tag.Lady Gaga.dance,73
tag.Lady Gaga.electronic,53
tag.Lady Gaga.female vocalists,43
tag.Lady Gaga.female vocalist,21
tag.Lady Gaga.Lady Gaga,14
tag.Lady Gaga.electropop,8
tag.Lady Gaga.seen live,8
tag.Lady Gaga.american,7
tag.Lady Gaga.gaga,5
