id,value
tag,
tag.[unknown],
tag.[unknown].mysterious,100
tag.[unknown].mistagged artist,75
tag.[unknown].unknown,65
tag.[unknown].rock,46
tag.[unknown].Soundtrack,34
tag.[unknown].seen live,22
tag.[unknown].alternative,17
tag.[unknown].electronic,16
tag.[unknown].emo,15
tag.[unknown].jazz,15
tag.Elliott Smith,
tag.Elliott Smith.singer-songwriter,100
tag.Elliott Smith.indie,94
tag.Elliott Smith.folk,65
tag.Elliott Smith.acoustic,59
tag.Elliott Smith.indie rock,41
tag.Elliott Smith.alternative,20
tag.Elliott Smith.indie pop,14
tag.Elliott Smith.rock,12
tag.Elliott Smith.Lo-Fi,8
tag.Elliott Smith.indie folk,7
tag.William Fitzsimmons,
tag.William Fitzsimmons.singer-songwriter,100
tag.William Fitzsimmons.folk,100
tag.William Fitzsimmons.acoustic,95
tag.William Fitzsimmons.indie,63
tag.William Fitzsimmons.Mellow,37
tag.William Fitzsimmons.seen live,27
tag.William Fitzsimmons.indie folk,9
tag.William Fitzsimmons.american,7
tag.William Fitzsimmons.alternative,6
tag.William Fitzsimmons.william fitzsimmons,4
tag.Sarah Jaffe,
tag.Sarah Jaffe.folk,100
tag.Sarah Jaffe.female vocalists,79
tag.Sarah Jaffe.indie pop,67
tag.Sarah Jaffe.dream pop,57
tag.Sarah Jaffe.acoustic,44
tag.Sarah Jaffe.seen live,25
tag.Sarah Jaffe.indie,21
tag.Sarah Jaffe.singer-songwriter,18
tag.Sarah Jaffe.texas,18
tag.Sarah Jaffe.american,11
tag.Tired Pony,
tag.Tired Pony.indie rock,100
tag.Tired Pony.alternative,98
tag.Tired Pony.country,78
tag.Tired Pony.indie,74
tag.Tired Pony.gary lightbody,26
tag.Tired Pony.rock,20
tag.Tired Pony.folk,12
tag.Tired Pony.tired pony,12
tag.Tired Pony.Snow Patrol,10
tag.Tired Pony.british,8
