id,value
tag,
tag.Kanye West,
tag.Kanye West.Hip-Hop,100
tag.Kanye West.rap,68
tag.Kanye West.hip hop,40
tag.Kanye West.rnb,31
tag.Kanye West.Kanye West,24
tag.Kanye West.seen live,22
tag.Kanye West.Gay Fish,6
tag.Kanye West.american,6
tag.Kanye West.pop,6
tag.Kanye West.chicago,5
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Florence + the Machine,
tag.Florence + the Machine.indie,100
tag.Florence + the Machine.female vocalists,87
tag.Florence + the Machine.alternative,72
tag.Florence + the Machine.british,72
tag.Florence + the Machine.indie pop,61
tag.Florence + the Machine.seen live,28
tag.Florence + the Machine.pop,10
tag.Florence + the Machine.indie rock,8
tag.Florence + the Machine.singer-songwriter,7
tag.Florence + the Machine.folk,6
tag.Beyoncé,
tag.Beyoncé.rnb,100
tag.Beyoncé.pop,91
tag.Beyoncé.female vocalists,70
tag.Beyoncé.soul,56
tag.Beyoncé.Hip-Hop,46
tag.Beyoncé.beyonce,16
tag.Beyoncé.dance,13
tag.Beyoncé.r&b,9
tag.Beyoncé.american,9
tag.Beyoncé.sexy,8
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
