id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Gorillaz,
tag.Gorillaz.alternative,100
tag.Gorillaz.electronic,88
tag.Gorillaz.Hip-Hop,63
tag.Gorillaz.rock,58
tag.Gorillaz.indie,46
tag.Gorillaz.trip-hop,20
tag.Gorillaz.electronica,13
tag.Gorillaz.pop,13
tag.Gorillaz.british,12
tag.Gorillaz.alternative rock,11
tag.Soda Stereo,
tag.Soda Stereo.Rock Argentino,100
tag.Soda Stereo.rock,78
tag.Soda Stereo.Rock en Espanol,76
tag.Soda Stereo.80s,53
tag.Soda Stereo.argentina,49
tag.Soda Stereo.rock en español,16
tag.Soda Stereo.Latin Rock,15
tag.Soda Stereo.soda stereo,15
tag.Soda Stereo.spanish,14
tag.Soda Stereo.seen live,13
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
