id,value
tag,
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
tag.Adele,
tag.Adele.soul,100
tag.Adele.female vocalists,82
tag.Adele.british,66
tag.Adele.singer-songwriter,51
tag.Adele.indie,40
tag.Adele.pop,19
tag.Adele.Adele,12
tag.Adele.jazz,8
tag.Adele.acoustic,4
tag.Adele.female vocalist,4
tag.Sia,
tag.Sia.female vocalists,100
tag.Sia.chillout,76
tag.Sia.indie,70
tag.Sia.trip-hop,58
tag.Sia.downtempo,57
tag.Sia.australian,21
tag.Sia.pop,19
tag.Sia.singer-songwriter,18
tag.Sia.electronic,16
tag.Sia.alternative,9
tag.Ariana Grande,
tag.Ariana Grande.pop,100
tag.Ariana Grande.female vocalists,55
tag.Ariana Grande.rnb,51
tag.Ariana Grande.Ariana Grande,22
tag.Ariana Grande.nickelodeon,18
tag.Ariana Grande.r&b,13
tag.Ariana Grande.american,12
tag.Ariana Grande.dance,10
tag.Ariana Grande.soul,10
tag.Ariana Grande.sexy,4
tag.Justin Bieber,
tag.Justin Bieber.pop,100
tag.Justin Bieber.black metal,87
tag.Justin Bieber.justin bieber,57
tag.Justin Bieber.rnb,47
tag.Justin Bieber.Hip-Hop,37
tag.Justin Bieber.r&b,23
tag.Justin Bieber.Brutal Death Metal,21
tag.Justin Bieber.gay,18
tag.Justin Bieber.Canadian,16
tag.Justin Bieber.female vocalists,15
