id,value
tag,
tag.Rage Against the Machine,
tag.Rage Against the Machine.rock,100
tag.Rage Against the Machine.alternative rock,80
tag.Rage Against the Machine.alternative,74
tag.Rage Against the Machine.political,60
tag.Rage Against the Machine.metal,54
tag.Rage Against the Machine.rapcore,46
tag.Rage Against the Machine.seen live,32
tag.Rage Against the Machine.hard rock,25
tag.Rage Against the Machine.alternative metal,16
tag.Rage Against the Machine.crossover,16
tag.AKB48,
tag.AKB48.j-pop,100
tag.AKB48.japanese,65
tag.AKB48.idol,54
tag.AKB48.akb48,49
tag.AKB48.JPop,27
tag.AKB48.female vocalists,22
tag.AKB48.pop,12
tag.AKB48.akihabara,8
tag.AKB48.japan,6
tag.AKB48.girl group,6
tag.槇原敬之,
tag.槇原敬之.j-pop,100
tag.槇原敬之.japanese,75
tag.槇原敬之.male vocalists,30
tag.槇原敬之.JPop,29
tag.槇原敬之.pop,27
tag.槇原敬之.singer-songwriter,14
tag.槇原敬之.Japanese music,7
tag.槇原敬之.90s,6
tag.槇原敬之.easy listening,5
tag.槇原敬之.Asian,5
tag.サニーデイ・サービス,
tag.サニーデイ・サービス.japanese,100
tag.サニーデイ・サービス.J-rock,41
tag.サニーデイ・サービス.rock,37
tag.サニーデイ・サービス.j-pop,33
tag.サニーデイ・サービス.pop,32
tag.サニーデイ・サービス.folk,13
tag.サニーデイ・サービス.JPop,13
tag.サニーデイ・サービス.alternative,8
tag.サニーデイ・サービス.Japanese music,7
tag.サニーデイ・サービス.shibuya-kei,7
tag.Bon Jovi,
tag.Bon Jovi.rock,100
tag.Bon Jovi.hard rock,73
tag.Bon Jovi.classic rock,61
tag.Bon Jovi.80s,48
tag.Bon Jovi.hair metal,30
tag.Bon Jovi.seen live,12
tag.Bon Jovi.bon jovi,10
tag.Bon Jovi.american,7
tag.Bon Jovi.90s,7
tag.Bon Jovi.pop,7
