id,value
tag,
tag.Linkin Park,
tag.Linkin Park.rock,100
tag.Linkin Park.Nu Metal,92
tag.Linkin Park.alternative rock,74
tag.Linkin Park.alternative,67
tag.Linkin Park.metal,37
tag.Linkin Park.seen live,21
tag.Linkin Park.rapcore,14
tag.Linkin Park.Linkin Park,14
tag.Linkin Park.Nu-metal,13
tag.Linkin Park.alternative metal,7
tag.Rammstein,
tag.Rammstein.industrial metal,100
tag.Rammstein.metal,71
tag.Rammstein.industrial,66
tag.Rammstein.german,59
tag.Rammstein.rock,37
tag.Rammstein.seen live,24
tag.Rammstein.hard rock,12
tag.Rammstein.heavy metal,10
tag.Rammstein.Rammstein,8
tag.Rammstein.neue deutsche härte,6
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
tag.Arctic Monkeys,
tag.Arctic Monkeys.indie rock,100
tag.Arctic Monkeys.indie,98
tag.Arctic Monkeys.british,75
tag.Arctic Monkeys.rock,63
tag.Arctic Monkeys.alternative,60
tag.Arctic Monkeys.seen live,44
tag.Arctic Monkeys.alternative rock,19
tag.Arctic Monkeys.britpop,16
tag.Arctic Monkeys.arctic monkeys,7
tag.Arctic Monkeys.Garage Rock,4
tag.Red Hot Chili Peppers,
tag.Red Hot Chili Peppers.rock,100
tag.Red Hot Chili Peppers.alternative rock,59
tag.Red Hot Chili Peppers.alternative,54
tag.Red Hot Chili Peppers.funk,50
tag.Red Hot Chili Peppers.Funk Rock,50
tag.Red Hot Chili Peppers.seen live,23
tag.Red Hot Chili Peppers.Red Hot Chili Peppers,8
tag.Red Hot Chili Peppers.punk,6
tag.Red Hot Chili Peppers.american,5
tag.Red Hot Chili Peppers.indie,5
