id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Pink Floyd,
tag.Pink Floyd.Progressive rock,100
tag.Pink Floyd.classic rock,79
tag.Pink Floyd.Psychedelic Rock,72
tag.Pink Floyd.rock,53
tag.Pink Floyd.psychedelic,44
tag.Pink Floyd.british,13
tag.Pink Floyd.Progressive,11
tag.Pink Floyd.Pink Floyd,10
tag.Pink Floyd.70s,8
tag.Pink Floyd.alternative,6
tag.The Rolling Stones,
tag.The Rolling Stones.classic rock,100
tag.The Rolling Stones.rock,80
tag.The Rolling Stones.british,43
tag.The Rolling Stones.60s,41
tag.The Rolling Stones.blues,30
tag.The Rolling Stones.seen live,13
tag.The Rolling Stones.blues rock,9
tag.The Rolling Stones.70s,8
tag.The Rolling Stones.hard rock,8
tag.The Rolling Stones.Rock and Roll,7
tag.Bonobo,
tag.Bonobo.downtempo,100
tag.Bonobo.electronic,85
tag.Bonobo.chillout,82
tag.Bonobo.trip-hop,77
tag.Bonobo.ninja tune,48
tag.Bonobo.seen live,18
tag.Bonobo.electronica,15
tag.Bonobo.lounge,15
tag.Bonobo.ambient,8
tag.Bonobo.downbeat,8
tag.Kanye West,
tag.Kanye West.Hip-Hop,100
tag.Kanye West.rap,68
tag.Kanye West.hip hop,40
tag.Kanye West.rnb,31
tag.Kanye West.Kanye West,24
tag.Kanye West.seen live,22
tag.Kanye West.Gay Fish,6
tag.Kanye West.american,6
tag.Kanye West.pop,6
tag.Kanye West.chicago,5
