id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.The xx,
tag.The xx.indie,100
tag.The xx.electronic,80
tag.The xx.british,62
tag.The xx.post-punk,61
tag.The xx.seen live,42
tag.The xx.dance,24
tag.The xx.alternative,11
tag.The xx.dream pop,10
tag.The xx.indie pop,9
tag.The xx.indie rock,8
tag.Pink Floyd,
tag.Pink Floyd.Progressive rock,100
tag.Pink Floyd.classic rock,79
tag.Pink Floyd.Psychedelic Rock,72
tag.Pink Floyd.rock,53
tag.Pink Floyd.psychedelic,44
tag.Pink Floyd.british,13
tag.Pink Floyd.Progressive,11
tag.Pink Floyd.Pink Floyd,10
tag.Pink Floyd.70s,8
tag.Pink Floyd.alternative,6
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
