id,value
tag,
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Massive Attack,
tag.Massive Attack.trip-hop,100
tag.Massive Attack.electronic,62
tag.Massive Attack.chillout,42
tag.Massive Attack.downtempo,35
tag.Massive Attack.electronica,25
tag.Massive Attack.seen live,16
tag.Massive Attack.trip hop,12
tag.Massive Attack.alternative,10
tag.Massive Attack.british,7
tag.Massive Attack.ambient,6
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Depeche Mode,
tag.Depeche Mode.electronic,100
tag.Depeche Mode.new wave,87
tag.Depeche Mode.80s,59
tag.Depeche Mode.synth pop,56
tag.Depeche Mode.synthpop,55
tag.Depeche Mode.seen live,21
tag.Depeche Mode.alternative,20
tag.Depeche Mode.rock,16
tag.Depeche Mode.british,13
tag.Depeche Mode.electronica,11
tag.The National,
tag.The National.seen live,100
tag.The National.indie rock,88
tag.The National.indie,86
tag.The National.alternative,56
tag.The National.rock,43
tag.The National.alternative rock,39
tag.The National.post-punk,11
tag.The National.american,11
tag.The National.Alt-country,5
tag.The National.Post-punk revival,4
