id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Michael Jackson,
tag.Michael Jackson.pop,100
tag.Michael Jackson.80s,50
tag.Michael Jackson.dance,41
tag.Michael Jackson.soul,36
tag.Michael Jackson.funk,34
tag.Michael Jackson.king of pop,11
tag.Michael Jackson.michael jackson,10
tag.Michael Jackson.rock,8
tag.Michael Jackson.Disco,7
tag.Michael Jackson.legend,7
tag.Adele,
tag.Adele.soul,100
tag.Adele.female vocalists,82
tag.Adele.british,66
tag.Adele.singer-songwriter,51
tag.Adele.indie,40
tag.Adele.pop,19
tag.Adele.Adele,12
tag.Adele.jazz,8
tag.Adele.acoustic,4
tag.Adele.female vocalist,4
tag.Ed Sheeran,
tag.Ed Sheeran.acoustic,100
tag.Ed Sheeran.british,81
tag.Ed Sheeran.singer-songwriter,78
tag.Ed Sheeran.easy-listening,28
tag.Ed Sheeran.Grime,24
tag.Ed Sheeran.pop,21
tag.Ed Sheeran.seen live,19
tag.Ed Sheeran.male vocalists,12
tag.Ed Sheeran.indie,12
tag.Ed Sheeran.folk,11
tag.Bob Dylan,
tag.Bob Dylan.folk,100
tag.Bob Dylan.singer-songwriter,70
tag.Bob Dylan.classic rock,65
tag.Bob Dylan.folk rock,53
tag.Bob Dylan.rock,45
tag.Bob Dylan.seen live,23
tag.Bob Dylan.blues,17
tag.Bob Dylan.60s,14
tag.Bob Dylan.Bob Dylan,9
tag.Bob Dylan.american,6
