id,value
tag,
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.The Rolling Stones,
tag.The Rolling Stones.classic rock,100
tag.The Rolling Stones.rock,80
tag.The Rolling Stones.british,43
tag.The Rolling Stones.60s,41
tag.The Rolling Stones.blues,30
tag.The Rolling Stones.seen live,13
tag.The Rolling Stones.blues rock,9
tag.The Rolling Stones.70s,8
tag.The Rolling Stones.hard rock,8
tag.The Rolling Stones.Rock and Roll,7
tag.Bob Dylan,
tag.Bob Dylan.folk,100
tag.Bob Dylan.singer-songwriter,70
tag.Bob Dylan.classic rock,65
tag.Bob Dylan.folk rock,53
tag.Bob Dylan.rock,45
tag.Bob Dylan.seen live,23
tag.Bob Dylan.blues,17
tag.Bob Dylan.60s,14
tag.Bob Dylan.Bob Dylan,9
tag.Bob Dylan.american,6
tag.Oasis,
tag.Oasis.britpop,100
tag.Oasis.rock,89
tag.Oasis.british,61
tag.Oasis.alternative,53
tag.Oasis.indie,46
tag.Oasis.seen live,21
tag.Oasis.alternative rock,20
tag.Oasis.indie rock,12
tag.Oasis.90s,10
tag.Oasis.oasis,9
tag.Weezer,
tag.Weezer.rock,100
tag.Weezer.alternative,86
tag.Weezer.alternative rock,73
tag.Weezer.indie,50
tag.Weezer.indie rock,41
tag.Weezer.seen live,36
tag.Weezer.emo,15
tag.Weezer.power pop,11
tag.Weezer.punk,11
tag.Weezer.90s,9
