id,value
tag,
tag.Lana Del Rey,
tag.Lana Del Rey.female vocalists,100
tag.Lana Del Rey.indie,92
tag.Lana Del Rey.indie pop,88
tag.Lana Del Rey.pop,79
tag.Lana Del Rey.alternative,66
tag.Lana Del Rey.american,14
tag.Lana Del Rey.dream pop,12
tag.Lana Del Rey.seen live,11
tag.Lana Del Rey.trip-hop,9
tag.Lana Del Rey.singer-songwriter,9
tag.Florence + the Machine,
tag.Florence + the Machine.indie,100
tag.Florence + the Machine.female vocalists,87
tag.Florence + the Machine.alternative,72
tag.Florence + the Machine.british,72
tag.Florence + the Machine.indie pop,61
tag.Florence + the Machine.seen live,28
tag.Florence + the Machine.pop,10
tag.Florence + the Machine.indie rock,8
tag.Florence + the Machine.singer-songwriter,7
tag.Florence + the Machine.folk,6
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
tag.Fall Out Boy,
tag.Fall Out Boy.pop punk,100
tag.Fall Out Boy.rock,91
tag.Fall Out Boy.emo,86
tag.Fall Out Boy.alternative,69
tag.Fall Out Boy.punk,56
tag.Fall Out Boy.seen live,38
tag.Fall Out Boy.punk rock,28
tag.Fall Out Boy.alternative rock,15
tag.Fall Out Boy.indie,14
tag.Fall Out Boy.Fall Out Boy,13
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
