id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.The xx,
tag.The xx.indie,100
tag.The xx.electronic,80
tag.The xx.british,62
tag.The xx.post-punk,61
tag.The xx.seen live,42
tag.The xx.dance,24
tag.The xx.alternative,11
tag.The xx.dream pop,10
tag.The xx.indie pop,9
tag.The xx.indie rock,8
tag.Aphex Twin,
tag.Aphex Twin.electronic,100
tag.Aphex Twin.idm,83
tag.Aphex Twin.ambient,81
tag.Aphex Twin.experimental,64
tag.Aphex Twin.electronica,43
tag.Aphex Twin.techno,16
tag.Aphex Twin.Warp,10
tag.Aphex Twin.seen live,8
tag.Aphex Twin.electro,5
tag.Aphex Twin.british,5
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
