id,value
tag,
tag.Lady Gaga,
tag.Lady Gaga.pop,100
tag.Lady Gaga.dance,73
tag.Lady Gaga.electronic,53
tag.Lady Gaga.female vocalists,43
tag.Lady Gaga.female vocalist,21
tag.Lady Gaga.Lady Gaga,14
tag.Lady Gaga.electropop,8
tag.Lady Gaga.seen live,8
tag.Lady Gaga.american,7
tag.Lady Gaga.gaga,5
tag.Röyksopp,
tag.Röyksopp.electronic,100
tag.Röyksopp.chillout,62
tag.Röyksopp.ambient,48
tag.Röyksopp.electronica,41
tag.Röyksopp.norwegian,37
tag.Röyksopp.seen live,17
tag.Röyksopp.trip-hop,17
tag.Röyksopp.downtempo,10
tag.Röyksopp.dance,9
tag.Röyksopp.indie,6
tag.Avicii,
tag.Avicii.House,100
tag.Avicii.electronic,83
tag.Avicii.dance,66
tag.Avicii.Progressive House,54
tag.Avicii.electro house,49
tag.Avicii.swedish,20
tag.Avicii.seen live,14
tag.Avicii.electronica,6
tag.Avicii.club,5
tag.Avicii.electro,5
tag.Jamiroquai,
tag.Jamiroquai.funk,100
tag.Jamiroquai.acid jazz,67
tag.Jamiroquai.electronic,44
tag.Jamiroquai.dance,36
tag.Jamiroquai.pop,30
tag.Jamiroquai.seen live,11
tag.Jamiroquai.british,9
tag.Jamiroquai.alternative,8
tag.Jamiroquai.electronica,7
tag.Jamiroquai.jazz,7
tag.The Police,
tag.The Police.rock,100
tag.The Police.classic rock,82
tag.The Police.80s,72
tag.The Police.new wave,68
tag.The Police.pop,41
tag.The Police.british,22
tag.The Police.reggae,14
tag.The Police.seen live,12
tag.The Police.alternative,10
tag.The Police.The Police,8
