id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Röyksopp,
tag.Röyksopp.electronic,100
tag.Röyksopp.chillout,62
tag.Röyksopp.ambient,48
tag.Röyksopp.electronica,41
tag.Röyksopp.norwegian,37
tag.Röyksopp.seen live,17
tag.Röyksopp.trip-hop,17
tag.Röyksopp.downtempo,10
tag.Röyksopp.dance,9
tag.Röyksopp.indie,6
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Kygo,
tag.Kygo.electronic,100
tag.Kygo.House,75
tag.Kygo.chillout,72
tag.Kygo.downtempo,52
tag.Kygo.chillwave,42
tag.Kygo.seen live,39
tag.Kygo.tropical house,36
tag.Kygo.norwegian,29
tag.Kygo.deep house,16
tag.Kygo.electronica,8
