id,value
tag,
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Arctic Monkeys,
tag.Arctic Monkeys.indie rock,100
tag.Arctic Monkeys.indie,98
tag.Arctic Monkeys.british,75
tag.Arctic Monkeys.rock,63
tag.Arctic Monkeys.alternative,60
tag.Arctic Monkeys.seen live,44
tag.Arctic Monkeys.alternative rock,19
tag.Arctic Monkeys.britpop,16
tag.Arctic Monkeys.arctic monkeys,7
tag.Arctic Monkeys.Garage Rock,4
tag.Tame Impala,
tag.Tame Impala.Psychedelic Rock,100
tag.Tame Impala.psychedelic,92
tag.Tame Impala.indie rock,60
tag.Tame Impala.seen live,51
tag.Tame Impala.australian,48
tag.Tame Impala.rock,41
tag.Tame Impala.indie,20
tag.Tame Impala.Neo-Psychedelia,13
tag.Tame Impala.alternative,6
tag.Tame Impala.space rock,6
tag.Arcade Fire,
tag.Arcade Fire.indie,100
tag.Arcade Fire.indie rock,99
tag.Arcade Fire.alternative,76
tag.Arcade Fire.Canadian,62
tag.Arcade Fire.seen live,57
tag.Arcade Fire.rock,48
tag.Arcade Fire.alternative rock,16
tag.Arcade Fire.art rock,11
tag.Arcade Fire.baroque pop,10
tag.Arcade Fire.folk,6
