id,value
tag,
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Lana Del Rey,
tag.Lana Del Rey.female vocalists,100
tag.Lana Del Rey.indie,92
tag.Lana Del Rey.indie pop,88
tag.Lana Del Rey.pop,79
tag.Lana Del Rey.alternative,66
tag.Lana Del Rey.american,14
tag.Lana Del Rey.dream pop,12
tag.Lana Del Rey.seen live,11
tag.Lana Del Rey.trip-hop,9
tag.Lana Del Rey.singer-songwriter,9
tag.Pink Floyd,
tag.Pink Floyd.Progressive rock,100
tag.Pink Floyd.classic rock,79
tag.Pink Floyd.Psychedelic Rock,72
tag.Pink Floyd.rock,53
tag.Pink Floyd.psychedelic,44
tag.Pink Floyd.british,13
tag.Pink Floyd.Progressive,11
tag.Pink Floyd.Pink Floyd,10
tag.Pink Floyd.70s,8
tag.Pink Floyd.alternative,6
tag.Massive Attack,
tag.Massive Attack.trip-hop,100
tag.Massive Attack.electronic,62
tag.Massive Attack.chillout,42
tag.Massive Attack.downtempo,35
tag.Massive Attack.electronica,25
tag.Massive Attack.seen live,16
tag.Massive Attack.trip hop,12
tag.Massive Attack.alternative,10
tag.Massive Attack.british,7
tag.Massive Attack.ambient,6
