id,value
tag,
tag.Guano Apes,
tag.Guano Apes.rock,100
tag.Guano Apes.alternative rock,100
tag.Guano Apes.alternative,66
tag.Guano Apes.female vocalists,60
tag.Guano Apes.german,47
tag.Guano Apes.seen live,30
tag.Guano Apes.hard rock,17
tag.Guano Apes.crossover,14
tag.Guano Apes.metal,11
tag.Guano Apes.Nu Metal,10
tag.Lumen,
tag.Lumen.alternative,100
tag.Lumen.russian rock,77
tag.Lumen.punk rock,71
tag.Lumen.rock,67
tag.Lumen.russian,58
tag.Lumen.alternative rock,18
tag.Lumen.seen live,11
tag.Lumen.russian alternative,11
tag.Lumen.punk,10
tag.Lumen.Lumen,6
tag.Ария,
tag.Ария.heavy metal,100
tag.Ария.russian,52
tag.Ария.russian rock,41
tag.Ария.metal,40
tag.Ария.rock,28
tag.Ария.russian metal,11
tag.Ария.hard rock,10
tag.Ария.seen live,9
tag.Ария.Russian Heavy Metal,4
tag.Ария.NWOBHM,3
tag.Nightwish,
tag.Nightwish.symphonic metal,100
tag.Nightwish.Power metal,56
tag.Nightwish.Gothic Metal,54
tag.Nightwish.metal,45
tag.Nightwish.Female fronted metal,36
tag.Nightwish.finnish,22
tag.Nightwish.seen live,21
tag.Nightwish.female vocalists,13
tag.Nightwish.Gothic,13
tag.Nightwish.symphonic power metal,7
tag.Two Door Cinema Club,
tag.Two Door Cinema Club.indie,100
tag.Two Door Cinema Club.electronic,67
tag.Two Door Cinema Club.british,63
tag.Two Door Cinema Club.alternative,53
tag.Two Door Cinema Club.seen live,46
tag.Two Door Cinema Club.synth indie rock,41
tag.Two Door Cinema Club.indie rock,19
tag.Two Door Cinema Club.indie pop,10
tag.Two Door Cinema Club.irish,6
tag.Two Door Cinema Club.rock,6
