id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Kanye West,
tag.Kanye West.Hip-Hop,100
tag.Kanye West.rap,68
tag.Kanye West.hip hop,40
tag.Kanye West.rnb,31
tag.Kanye West.Kanye West,24
tag.Kanye West.seen live,22
tag.Kanye West.Gay Fish,6
tag.Kanye West.american,6
tag.Kanye West.pop,6
tag.Kanye West.chicago,5
tag.Eminem,
tag.Eminem.rap,100
tag.Eminem.Hip-Hop,78
tag.Eminem.Eminem,33
tag.Eminem.hip hop,33
tag.Eminem.pop,16
tag.Eminem.american,6
tag.Eminem.detroit,5
tag.Eminem.seen live,4
tag.Eminem.hiphop,4
tag.Eminem.Gangsta Rap,3
tag.Florence + the Machine,
tag.Florence + the Machine.indie,100
tag.Florence + the Machine.female vocalists,87
tag.Florence + the Machine.alternative,72
tag.Florence + the Machine.british,72
tag.Florence + the Machine.indie pop,61
tag.Florence + the Machine.seen live,28
tag.Florence + the Machine.pop,10
tag.Florence + the Machine.indie rock,8
tag.Florence + the Machine.singer-songwriter,7
tag.Florence + the Machine.folk,6
tag.Kings of Leon,
tag.Kings of Leon.rock,100
tag.Kings of Leon.indie,96
tag.Kings of Leon.indie rock,92
tag.Kings of Leon.alternative,77
tag.Kings of Leon.seen live,57
tag.Kings of Leon.Southern Rock,53
tag.Kings of Leon.alternative rock,24
tag.Kings of Leon.american,11
tag.Kings of Leon.Garage Rock,11
tag.Kings of Leon.kings of leon,8
