id,value
tag,
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
tag.Michael Jackson,
tag.Michael Jackson.pop,100
tag.Michael Jackson.80s,50
tag.Michael Jackson.dance,41
tag.Michael Jackson.soul,36
tag.Michael Jackson.funk,34
tag.Michael Jackson.king of pop,11
tag.Michael Jackson.michael jackson,10
tag.Michael Jackson.rock,8
tag.Michael Jackson.Disco,7
tag.Michael Jackson.legend,7
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Justin Timberlake,
tag.Justin Timberlake.pop,100
tag.Justin Timberlake.rnb,63
tag.Justin Timberlake.dance,47
tag.Justin Timberlake.male vocalists,32
tag.Justin Timberlake.Hip-Hop,30
tag.Justin Timberlake.Justin Timberlake,9
tag.Justin Timberlake.seen live,9
tag.Justin Timberlake.soul,8
tag.Justin Timberlake.american,8
tag.Justin Timberlake.hip hop,6
