id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.David Bowie,
tag.David Bowie.rock,100
tag.David Bowie.glam rock,99
tag.David Bowie.classic rock,86
tag.David Bowie.80s,48
tag.David Bowie.alternative,43
tag.David Bowie.british,23
tag.David Bowie.pop,19
tag.David Bowie.70s,15
tag.David Bowie.glam,14
tag.David Bowie.seen live,11
tag.Kent,
tag.Kent.swedish,100
tag.Kent.seen live,85
tag.Kent.rock,76
tag.Kent.indie,47
tag.Kent.alternative,42
tag.Kent.pop,31
tag.Kent.indie rock,18
tag.Kent.alternative rock,15
tag.Kent.scandinavian,11
tag.Kent.Kent,9
tag.Håkan Hellström,
tag.Håkan Hellström.seen live,100
tag.Håkan Hellström.swedish,65
tag.Håkan Hellström.pop,44
tag.Håkan Hellström.indie,25
tag.Håkan Hellström.indie pop,23
tag.Håkan Hellström.singer-songwriter,16
tag.Håkan Hellström.svenskt,7
tag.Håkan Hellström.Sweden,5
tag.Håkan Hellström.rock,4
tag.Håkan Hellström.alternative,4
tag.Queen,
tag.Queen.classic rock,100
tag.Queen.rock,80
tag.Queen.80s,41
tag.Queen.hard rock,38
tag.Queen.glam rock,35
tag.Queen.british,16
tag.Queen.Queen,13
tag.Queen.70s,8
tag.Queen.pop,7
tag.Queen.Progressive rock,6
