id,value
tag,
tag.Faith No More,
tag.Faith No More.alternative rock,100
tag.Faith No More.rock,97
tag.Faith No More.alternative,75
tag.Faith No More.metal,53
tag.Faith No More.seen live,52
tag.Faith No More.mike patton,44
tag.Faith No More.alternative metal,32
tag.Faith No More.hard rock,22
tag.Faith No More.funk metal,19
tag.Faith No More.experimental,18
tag.The Chainsmokers,
tag.The Chainsmokers.electronic,100
tag.The Chainsmokers.pop,69
tag.The Chainsmokers.House,66
tag.The Chainsmokers.electro house,50
tag.The Chainsmokers.dance,29
tag.The Chainsmokers.american,25
tag.The Chainsmokers.seen live,16
tag.The Chainsmokers.electropop,13
tag.The Chainsmokers.alternative dance,13
tag.The Chainsmokers.EDM,13
tag.Rammstein,
tag.Rammstein.industrial metal,100
tag.Rammstein.metal,71
tag.Rammstein.industrial,66
tag.Rammstein.german,59
tag.Rammstein.rock,37
tag.Rammstein.seen live,24
tag.Rammstein.hard rock,12
tag.Rammstein.heavy metal,10
tag.Rammstein.Rammstein,8
tag.Rammstein.neue deutsche härte,6
tag.Frank Sinatra,
tag.Frank Sinatra.jazz,100
tag.Frank Sinatra.swing,67
tag.Frank Sinatra.oldies,44
tag.Frank Sinatra.vocal jazz,35
tag.Frank Sinatra.easy listening,27
tag.Frank Sinatra.male vocalists,7
tag.Frank Sinatra.american,7
tag.Frank Sinatra.frank sinatra,7
tag.Frank Sinatra.Big Band,6
tag.Frank Sinatra.pop,5
tag.Foster the People,
tag.Foster the People.indie,100
tag.Foster the People.indie pop,83
tag.Foster the People.alternative,64
tag.Foster the People.american,36
tag.Foster the People.seen live,22
tag.Foster the People.los angeles,18
tag.Foster the People.indie rock,12
tag.Foster the People.pop,10
tag.Foster the People.electronic,8
tag.Foster the People.rock,7
