id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Ed Sheeran,
tag.Ed Sheeran.acoustic,100
tag.Ed Sheeran.british,81
tag.Ed Sheeran.singer-songwriter,78
tag.Ed Sheeran.easy-listening,28
tag.Ed Sheeran.Grime,24
tag.Ed Sheeran.pop,21
tag.Ed Sheeran.seen live,19
tag.Ed Sheeran.male vocalists,12
tag.Ed Sheeran.indie,12
tag.Ed Sheeran.folk,11
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Eminem,
tag.Eminem.rap,100
tag.Eminem.Hip-Hop,78
tag.Eminem.Eminem,33
tag.Eminem.hip hop,33
tag.Eminem.pop,16
tag.Eminem.american,6
tag.Eminem.detroit,5
tag.Eminem.seen live,4
tag.Eminem.hiphop,4
tag.Eminem.Gangsta Rap,3
tag.The Black Keys,
tag.The Black Keys.blues rock,100
tag.The Black Keys.blues,68
tag.The Black Keys.rock,62
tag.The Black Keys.indie,50
tag.The Black Keys.indie rock,48
tag.The Black Keys.seen live,37
tag.The Black Keys.Garage Rock,18
tag.The Black Keys.alternative,11
tag.The Black Keys.american,8
tag.The Black Keys.alternative rock,7
