id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Gorillaz,
tag.Gorillaz.alternative,100
tag.Gorillaz.electronic,88
tag.Gorillaz.Hip-Hop,63
tag.Gorillaz.rock,58
tag.Gorillaz.indie,46
tag.Gorillaz.trip-hop,20
tag.Gorillaz.electronica,13
tag.Gorillaz.pop,13
tag.Gorillaz.british,12
tag.Gorillaz.alternative rock,11
tag.Beyoncé,
tag.Beyoncé.rnb,100
tag.Beyoncé.pop,91
tag.Beyoncé.female vocalists,70
tag.Beyoncé.soul,56
tag.Beyoncé.Hip-Hop,46
tag.Beyoncé.beyonce,16
tag.Beyoncé.dance,13
tag.Beyoncé.r&b,9
tag.Beyoncé.american,9
tag.Beyoncé.sexy,8
