id,value
tag,
tag.Unheilig,
tag.Unheilig.Gothic,100
tag.Unheilig.darkwave,92
tag.Unheilig.industrial,80
tag.Unheilig.german,80
tag.Unheilig.Gothic Rock,57
tag.Unheilig.seen live,23
tag.Unheilig.industrial metal,16
tag.Unheilig.ebm,13
tag.Unheilig.Neue Deutsche Haerte,13
tag.Unheilig.neue deutsche härte,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
tag.Depeche Mode,
tag.Depeche Mode.electronic,100
tag.Depeche Mode.new wave,87
tag.Depeche Mode.80s,59
tag.Depeche Mode.synth pop,56
tag.Depeche Mode.synthpop,55
tag.Depeche Mode.seen live,21
tag.Depeche Mode.alternative,20
tag.Depeche Mode.rock,16
tag.Depeche Mode.british,13
tag.Depeche Mode.electronica,11
