id,value
tag,
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Mika,
tag.Mika.pop,100
tag.Mika.british,53
tag.Mika.britpop,46
tag.Mika.electronic,41
tag.Mika.alternative,35
tag.Mika.seen live,21
tag.Mika.dance,13
tag.Mika.male vocalists,9
tag.Mika.mika,8
tag.Mika.chillout,7
tag.Kygo,
tag.Kygo.electronic,100
tag.Kygo.House,75
tag.Kygo.chillout,72
tag.Kygo.downtempo,52
tag.Kygo.chillwave,42
tag.Kygo.seen live,39
tag.Kygo.tropical house,36
tag.Kygo.norwegian,29
tag.Kygo.deep house,16
tag.Kygo.electronica,8
tag.Fetty Wap,
tag.Fetty Wap.Hip-Hop,100
tag.Fetty Wap.rap,89
tag.Fetty Wap.trap,67
tag.Fetty Wap.rnb,62
tag.Fetty Wap.hip hop,34
tag.Fetty Wap.seen live,17
tag.Fetty Wap.american,17
tag.Fetty Wap.new jersey,12
tag.Fetty Wap.zoovier,12
tag.Fetty Wap.All,6
tag.Omarion,
tag.Omarion.rnb,100
tag.Omarion.Hip-Hop,52
tag.Omarion.Omarion,34
tag.Omarion.pop,26
tag.Omarion.hip hop,22
tag.Omarion.soul,11
tag.Omarion.r&b,11
tag.Omarion.male vocalists,10
tag.Omarion.r and b,6
tag.Omarion.dance,5
