id,value
tag,
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Lana Del Rey,
tag.Lana Del Rey.female vocalists,100
tag.Lana Del Rey.indie,92
tag.Lana Del Rey.indie pop,88
tag.Lana Del Rey.pop,79
tag.Lana Del Rey.alternative,66
tag.Lana Del Rey.american,14
tag.Lana Del Rey.dream pop,12
tag.Lana Del Rey.seen live,11
tag.Lana Del Rey.trip-hop,9
tag.Lana Del Rey.singer-songwriter,9
tag.Eminem,
tag.Eminem.rap,100
tag.Eminem.Hip-Hop,78
tag.Eminem.Eminem,33
tag.Eminem.hip hop,33
tag.Eminem.pop,16
tag.Eminem.american,6
tag.Eminem.detroit,5
tag.Eminem.seen live,4
tag.Eminem.hiphop,4
tag.Eminem.Gangsta Rap,3
tag.Beyoncé,
tag.Beyoncé.rnb,100
tag.Beyoncé.pop,91
tag.Beyoncé.female vocalists,70
tag.Beyoncé.soul,56
tag.Beyoncé.Hip-Hop,46
tag.Beyoncé.beyonce,16
tag.Beyoncé.dance,13
tag.Beyoncé.r&b,9
tag.Beyoncé.american,9
tag.Beyoncé.sexy,8
tag.Madonna,
tag.Madonna.pop,100
tag.Madonna.dance,50
tag.Madonna.female vocalists,50
tag.Madonna.80s,35
tag.Madonna.electronic,29
tag.Madonna.Madonna,15
tag.Madonna.seen live,9
tag.Madonna.90s,8
tag.Madonna.american,8
tag.Madonna.female,7
