id,value
tag,
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.The 1975,
tag.The 1975.indie,100
tag.The 1975.indie rock,99
tag.The 1975.seen live,73
tag.The 1975.british,71
tag.The 1975.alternative,71
tag.The 1975.Manchester,27
tag.The 1975.rock,20
tag.The 1975.alternative rock,20
tag.The 1975.indie pop,14
tag.The 1975.pop,9
tag.Arctic Monkeys,
tag.Arctic Monkeys.indie rock,100
tag.Arctic Monkeys.indie,98
tag.Arctic Monkeys.british,75
tag.Arctic Monkeys.rock,63
tag.Arctic Monkeys.alternative,60
tag.Arctic Monkeys.seen live,44
tag.Arctic Monkeys.alternative rock,19
tag.Arctic Monkeys.britpop,16
tag.Arctic Monkeys.arctic monkeys,7
tag.Arctic Monkeys.Garage Rock,4
tag.Muse,
tag.Muse.alternative rock,100
tag.Muse.rock,83
tag.Muse.alternative,70
tag.Muse.Progressive rock,57
tag.Muse.seen live,46
tag.Muse.indie,43
tag.Muse.british,21
tag.Muse.indie rock,12
tag.Muse.britpop,10
tag.Muse.Muse,10
tag.Linkin Park,
tag.Linkin Park.rock,100
tag.Linkin Park.Nu Metal,92
tag.Linkin Park.alternative rock,74
tag.Linkin Park.alternative,67
tag.Linkin Park.metal,37
tag.Linkin Park.seen live,21
tag.Linkin Park.rapcore,14
tag.Linkin Park.Linkin Park,14
tag.Linkin Park.Nu-metal,13
tag.Linkin Park.alternative metal,7
