id,value
tag,
tag.Ben Howard,
tag.Ben Howard.folk,100
tag.Ben Howard.acoustic,81
tag.Ben Howard.singer-songwriter,78
tag.Ben Howard.british,60
tag.Ben Howard.indie,53
tag.Ben Howard.seen live,42
tag.Ben Howard.indie folk,17
tag.Ben Howard.male vocalists,4
tag.Ben Howard.UK,4
tag.Ben Howard.folk rock,4
tag.Ajda Pekkan,
tag.Ajda Pekkan.turkish,100
tag.Ajda Pekkan.Turkish Pop,97
tag.Ajda Pekkan.female vocalists,55
tag.Ajda Pekkan.pop,46
tag.Ajda Pekkan.ajda pekkan,41
tag.Ajda Pekkan.superstar,37
tag.Ajda Pekkan.turkey,23
tag.Ajda Pekkan.AJDA,15
tag.Ajda Pekkan.diva,13
tag.Ajda Pekkan.Eurovision,13
tag.Franz Ferdinand,
tag.Franz Ferdinand.indie,100
tag.Franz Ferdinand.indie rock,89
tag.Franz Ferdinand.rock,81
tag.Franz Ferdinand.alternative,69
tag.Franz Ferdinand.seen live,61
tag.Franz Ferdinand.britpop,56
tag.Franz Ferdinand.british,27
tag.Franz Ferdinand.alternative rock,25
tag.Franz Ferdinand.Scottish,12
tag.Franz Ferdinand.franz ferdinand,7
tag.Creedence Clearwater Revival,
tag.Creedence Clearwater Revival.classic rock,100
tag.Creedence Clearwater Revival.rock,56
tag.Creedence Clearwater Revival.Southern Rock,46
tag.Creedence Clearwater Revival.60s,36
tag.Creedence Clearwater Revival.folk,26
tag.Creedence Clearwater Revival.blues,10
tag.Creedence Clearwater Revival.Rock and Roll,9
tag.Creedence Clearwater Revival.blues rock,8
tag.Creedence Clearwater Revival.oldies,7
tag.Creedence Clearwater Revival.american,7
tag.Blonde Redhead,
tag.Blonde Redhead.indie,100
tag.Blonde Redhead.indie rock,79
tag.Blonde Redhead.seen live,71
tag.Blonde Redhead.female vocalists,60
tag.Blonde Redhead.alternative,60
tag.Blonde Redhead.rock,32
tag.Blonde Redhead.post-rock,17
tag.Blonde Redhead.dream pop,15
tag.Blonde Redhead.alternative rock,15
tag.Blonde Redhead.shoegaze,15
