id,value
tag,
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Sia,
tag.Sia.female vocalists,100
tag.Sia.chillout,76
tag.Sia.indie,70
tag.Sia.trip-hop,58
tag.Sia.downtempo,57
tag.Sia.australian,21
tag.Sia.pop,19
tag.Sia.singer-songwriter,18
tag.Sia.electronic,16
tag.Sia.alternative,9
