id,value
tag,
tag.Elliott Smith,
tag.Elliott Smith.singer-songwriter,100
tag.Elliott Smith.indie,94
tag.Elliott Smith.folk,65
tag.Elliott Smith.acoustic,59
tag.Elliott Smith.indie rock,41
tag.Elliott Smith.alternative,20
tag.Elliott Smith.indie pop,14
tag.Elliott Smith.rock,12
tag.Elliott Smith.Lo-Fi,8
tag.Elliott Smith.indie folk,7
tag.Pearl Jam,
tag.Pearl Jam.Grunge,100
tag.Pearl Jam.rock,60
tag.Pearl Jam.alternative rock,42
tag.Pearl Jam.alternative,32
tag.Pearl Jam.90s,26
tag.Pearl Jam.seen live,21
tag.Pearl Jam.hard rock,10
tag.Pearl Jam.seattle,9
tag.Pearl Jam.pearl jam,6
tag.Pearl Jam.american,5
tag.Carly Rae Jepsen,
tag.Carly Rae Jepsen.pop,100
tag.Carly Rae Jepsen.Canadian,53
tag.Carly Rae Jepsen.female vocalists,48
tag.Carly Rae Jepsen.folk,27
tag.Carly Rae Jepsen.acoustic,22
tag.Carly Rae Jepsen.dance,11
tag.Carly Rae Jepsen.Carly Rae Jepsen,8
tag.Carly Rae Jepsen.canada,6
tag.Carly Rae Jepsen.singer-songwriter,5
tag.Carly Rae Jepsen.synthpop,5
tag.Kygo,
tag.Kygo.electronic,100
tag.Kygo.House,75
tag.Kygo.chillout,72
tag.Kygo.downtempo,52
tag.Kygo.chillwave,42
tag.Kygo.seen live,39
tag.Kygo.tropical house,36
tag.Kygo.norwegian,29
tag.Kygo.deep house,16
tag.Kygo.electronica,8
tag.Van Morrison,
tag.Van Morrison.classic rock,100
tag.Van Morrison.singer-songwriter,87
tag.Van Morrison.folk,76
tag.Van Morrison.rock,68
tag.Van Morrison.blues,62
tag.Van Morrison.irish,26
tag.Van Morrison.seen live,14
tag.Van Morrison.folk rock,14
tag.Van Morrison.jazz,12
tag.Van Morrison.van morrison,12
