id,value
tag,
tag.Red Hot Chili Peppers,
tag.Red Hot Chili Peppers.rock,100
tag.Red Hot Chili Peppers.alternative rock,59
tag.Red Hot Chili Peppers.alternative,54
tag.Red Hot Chili Peppers.funk,50
tag.Red Hot Chili Peppers.Funk Rock,50
tag.Red Hot Chili Peppers.seen live,23
tag.Red Hot Chili Peppers.Red Hot Chili Peppers,8
tag.Red Hot Chili Peppers.punk,6
tag.Red Hot Chili Peppers.american,5
tag.Red Hot Chili Peppers.indie,5
tag.The Rolling Stones,
tag.The Rolling Stones.classic rock,100
tag.The Rolling Stones.rock,80
tag.The Rolling Stones.british,43
tag.The Rolling Stones.60s,41
tag.The Rolling Stones.blues,30
tag.The Rolling Stones.seen live,13
tag.The Rolling Stones.blues rock,9
tag.The Rolling Stones.70s,8
tag.The Rolling Stones.hard rock,8
tag.The Rolling Stones.Rock and Roll,7
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Queen,
tag.Queen.classic rock,100
tag.Queen.rock,80
tag.Queen.80s,41
tag.Queen.hard rock,38
tag.Queen.glam rock,35
tag.Queen.british,16
tag.Queen.Queen,13
tag.Queen.70s,8
tag.Queen.pop,7
tag.Queen.Progressive rock,6
tag.The Beatles,
tag.The Beatles.classic rock,100
tag.The Beatles.rock,71
tag.The Beatles.british,58
tag.The Beatles.60s,56
tag.The Beatles.pop,41
tag.The Beatles.psychedelic,13
tag.The Beatles.The Beatles,10
tag.The Beatles.oldies,10
tag.The Beatles.beatles,6
tag.The Beatles.Psychedelic Rock,6
