id,value
tag,
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Red Hot Chili Peppers,
tag.Red Hot Chili Peppers.rock,100
tag.Red Hot Chili Peppers.alternative rock,59
tag.Red Hot Chili Peppers.alternative,54
tag.Red Hot Chili Peppers.funk,50
tag.Red Hot Chili Peppers.Funk Rock,50
tag.Red Hot Chili Peppers.seen live,23
tag.Red Hot Chili Peppers.Red Hot Chili Peppers,8
tag.Red Hot Chili Peppers.punk,6
tag.Red Hot Chili Peppers.american,5
tag.Red Hot Chili Peppers.indie,5
tag.Daft Punk,
tag.Daft Punk.electronic,100
tag.Daft Punk.dance,54
tag.Daft Punk.House,54
tag.Daft Punk.electronica,37
tag.Daft Punk.techno,36
tag.Daft Punk.french,19
tag.Daft Punk.electro,11
tag.Daft Punk.seen live,7
tag.Daft Punk.alternative,6
tag.Daft Punk.Daft Punk,6
tag.Nirvana,
tag.Nirvana.Grunge,100
tag.Nirvana.rock,52
tag.Nirvana.alternative,35
tag.Nirvana.alternative rock,34
tag.Nirvana.90s,28
tag.Nirvana.punk,7
tag.Nirvana.Nirvana,7
tag.Nirvana.indie,4
tag.Nirvana.american,4
tag.Nirvana.seattle,4
tag.Madonna,
tag.Madonna.pop,100
tag.Madonna.dance,50
tag.Madonna.female vocalists,50
tag.Madonna.80s,35
tag.Madonna.electronic,29
tag.Madonna.Madonna,15
tag.Madonna.seen live,9
tag.Madonna.90s,8
tag.Madonna.american,8
tag.Madonna.female,7
