id,value
tag,
tag.Justin Bieber,
tag.Justin Bieber.pop,100
tag.Justin Bieber.black metal,87
tag.Justin Bieber.justin bieber,57
tag.Justin Bieber.rnb,47
tag.Justin Bieber.Hip-Hop,37
tag.Justin Bieber.r&b,23
tag.Justin Bieber.Brutal Death Metal,21
tag.Justin Bieber.gay,18
tag.Justin Bieber.Canadian,16
tag.Justin Bieber.female vocalists,15
tag.David Guetta,
tag.David Guetta.House,100
tag.David Guetta.dance,82
tag.David Guetta.electronic,76
tag.David Guetta.club,50
tag.David Guetta.techno,39
tag.David Guetta.french,11
tag.David Guetta.seen live,9
tag.David Guetta.David Guetta,8
tag.David Guetta.electronica,7
tag.David Guetta.electro,6
tag.Chris Brown,
tag.Chris Brown.rnb,100
tag.Chris Brown.Hip-Hop,69
tag.Chris Brown.Chris Brown,49
tag.Chris Brown.rap,35
tag.Chris Brown.hip hop,33
tag.Chris Brown.pop,19
tag.Chris Brown.r&b,12
tag.Chris Brown.male vocalists,12
tag.Chris Brown.dance,10
tag.Chris Brown.american,6
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
